Actresss,Year,Title [ a ],Role(s),Notes,Ref(s),,,
Ajay Devgn,2010,Once Upon a Time in Mumbaai,Yes,No,No,Sultan Mirza,,[ 87 ]
Ajay Devgn,2010,Aakrosh,Yes,No,No,Pratap Kumar,,[ 88 ]
Ajay Devgn,2010,Golmaal 3,Yes,No,No,Gopal Kumar Santoshi,,[ 89 ]
Ajay Devgn,2010,Toonpur Ka Super Hero,Yes,No,No,Aditya,,[ 90 ]
Ajay Devgn,2011,Yamla Pagla Deewana,Yes,No,No,Narrator,,[ 91 ]
Ajay Devgn,2011,Dil Toh Baccha Hai Ji,Yes,No,No,Naren Ahuja,,[ 92 ]
Ajay Devgn,2011,Ready,Yes,No,No,Raju,Cameo appearance,[ 93 ]
Ajay Devgn,2011,Singham,Yes,No,No,Inspector Bajirao Singham,,[ 94 ]
Ajay Devgn,2011,Rascals,Yes,No,No,"Bhagat ""Bhagu"" Bhosle",,[ 95 ]
Ajay Devgn,2012,Tezz,Yes,No,No,Aakash Rana,,[ 96 ]
Ajay Devgn,2012,Bol Bachchan,Yes,Yes,No,Prithviraj Raghuvanshi,,[ 97 ]
Ajay Devgn,2012,Son of Sardaar,Yes,Yes,No,Jaswinder Singh Randhawa (Jassi),,[ 98 ]
Ajay Devgn,2013,Himmatwala,Yes,No,No,Ravi Verma,,[ 99 ]
Ajay Devgn,2013,Satyagraha,Yes,No,No,Manav Raghvendra,,[ 100 ]
Ajay Devgn,2013,Mahabharat,Yes,No,No,Arjuna (voice),,[ 101 ]
Ajay Devgn,2014,Singham Returns,Yes,Yes,No,DCP Bajirao Singham,,[ 102 ]
Ajay Devgn,2014,Action Jackson,Yes,No,No,Vishy/Jai (AJ) [ b ],,[ 103 ]
Ajay Devgn,2014,Vitti Dandu,No,Yes,No,—,Marathi film,[ 104 ]
Ajay Devgn,2015,Hey Bro,Yes,No,No,Himself,Special appearance,[ 105 ]
